date time,,packet id,,accel x, accel y, accel z, gyroz, gyro y, gyro z, compass x, compass y , compass z
2011/8/1 12:01:57,,238,,3744,-144,1680,9,73,-78,-103,-28,237
2011/8/1 12:01:57,,238,,3808,-112,1664,6,88,-85,-112,-33,237
2011/8/1 12:01:57,,238,,3776,-192,1696,2,89,-85,-103,-31,241
2011/8/1 12:01:58,,239,,3792,-96,1680,-6,93,-80,-103,-31,241
2011/8/1 12:01:58,,239,,3744,-176,1632,-7,96,-84,-103,-31,241
2011/8/1 12:01:58,,239,,3792,-176,1632,-14,90,-73,-106,-31,241
2011/8/1 12:01:58,,239,,3744,-240,1600,-17,94,-73,-106,-40,237
2011/8/1 12:01:58,,239,,3776,-144,1600,-15,78,-68,-106,-40,237
2011/8/1 12:01:58,,240,,3824,-112,1680,-11,71,-66,-106,-40,237
2011/8/1 12:01:58,,240,,3776,-128,1680,-17,71,-52,-105,-33,240
2011/8/1 12:01:58,,240,,3792,-208,1584,-20,72,-56,-100,-31,241
2011/8/1 12:01:58,,240,,3776,-160,1632,-19,81,-58,-103,-32,241
2011/8/1 12:01:58,,240,,3824,-224,1600,-25,91,-52,-103,-32,241
2011/8/1 12:01:58,,241,,3808,-224,1712,-29,91,-50,-98,-34,242
2011/8/1 12:01:58,,241,,3728,-144,1696,-28,80,-57,-107,-32,238
2011/8/1 12:01:58,,241,,3728,-272,1728,-23,69,-53,-104,-28,239
2011/8/1 12:01:58,,241,,3680,-176,1616,-32,56,-45,-104,-28,239
2011/8/1 12:01:58,,241,,3840,-176,1680,-41,51,-41,-103,-36,244
2011/8/1 12:01:58,,242,,3760,-144,1744,-41,57,-44,-102,-33,243
2011/8/1 12:01:58,,242,,3808,-128,1760,-49,55,-46,-104,-30,236
2011/8/1 12:01:58,,242,,3840,-224,1664,-59,59,-49,-104,-30,236
2011/8/1 12:01:58,,242,,3760,-256,1664,-70,60,-58,-104,-30,236
2011/8/1 12:01:58,,242,,3728,-176,1696,-73,59,-56,-102,-35,245
2011/8/1 12:01:58,,243,,3808,-240,1664,-81,70,-57,-103,-33,240
2011/8/1 12:01:58,,243,,3824,-176,1696,-86,52,-53,-103,-33,240
2011/8/1 12:01:58,,243,,3808,-128,1664,-87,44,-56,-103,-33,240
2011/8/1 12:01:58,,243,,3712,-80,1760,-85,36,-59,-103,-33,234
2011/8/1 12:01:58,,243,,3712,-160,1824,-95,42,-60,-101,-34,239
2011/8/1 12:01:58,,244,,3712,-208,1840,-98,38,-68,-102,-35,239
2011/8/1 12:01:58,,244,,3728,-240,1792,-109,56,-73,-102,-35,239
2011/8/1 12:01:58,,244,,3760,-144,1792,-112,58,-71,-98,-30,238
2011/8/1 12:01:58,,244,,3760,-208,1728,-114,69,-65,-102,-31,239
2011/8/1 12:01:58,,244,,3824,-272,1744,-128,71,-63,-97,-28,239
2011/8/1 12:01:58,,245,,3840,-256,1744,-123,81,-54,-97,-28,239
2011/8/1 12:01:58,,245,,3824,-240,1728,-129,77,-50,-92,-30,241
2011/8/1 12:01:58,,245,,3888,-240,1712,-125,82,-43,-101,-29,245
